,57726f48edc2cb3880ba012f,57726e34edc2cb3880b62340,57726f56edc2cb3880ba7233,57727c95edc2cb3880e4d1d4,57727016edc2cb3880bceb88,57726f78edc2cb3880baa755,57726f4cedc2cb3880ba07ed,57726f76edc2cb3880baa425,57726f4fedc2cb3880ba0b6d,5772700eedc2cb3880bc836e,57727015edc2cb3880bceb08,57726f77edc2cb3880baa4c5,57726e45edc2cb3880b69781,57727c88edc2cb3880e4be65,57727cbaedc2cb3880e561f7,57727d14edc2cb3880e6926e,57726fffedc2cb3880bc69d6,57727d5cedc2cb3880e751a0,57727c2eedc2cb3880e392f5,57726f59edc2cb3880ba76b3,577271fdedc2cb3880c384cc,57727015edc2cb3880bceb28,57727071edc2cb3880be3213,57726e37edc2cb3880b628ee,57726f49edc2cb3880ba034f,577278d5edc2cb3880d94196,5772752eedc2cb3880cd9f38,57727c2eedc2cb3880e39405,577278cdedc2cb3880d9370c,5772700eedc2cb3880bc82ce
57726f48edc2cb3880ba012f,1.0,0.10200000000000001,0.88,0.144,0.141,0.111,0.868,0.261,0.835,0.06,0.056999999999999995,0.159,0.063,0.054,0.048,0.159,0.162,0.174,0.141,0.892,0.12,0.078,0.129,0.162,0.802,0.207,0.20400000000000001,0.10200000000000001,0.141,0.22499999999999998
57726e34edc2cb3880b62340,0.10200000000000001,1.0,0.222,0.258,0.258,0.291,0.23399999999999999,0.141,0.264,0.258,0.258,0.24,0.261,0.255,0.24599999999999997,0.243,0.237,0.628,0.258,0.21,0.279,0.279,0.273,0.237,0.3,0.195,0.195,0.297,0.261,0.177
57726f56edc2cb3880ba7233,0.88,0.222,1.0,0.264,0.264,0.23099999999999998,0.988,0.219,0.9580000000000001,0.18,0.18,0.282,0.183,0.177,0.168,0.279,0.285,0.294,0.264,0.988,0.243,0.201,0.24899999999999997,0.285,0.922,0.273,0.273,0.222,0.261,0.255
57727c95edc2cb3880e4d1d4,0.144,0.258,0.264,1.0,0.297,0.667,0.276,0.583,0.291,0.216,0.213,0.685,0.619,0.61,0.6040000000000001,0.685,0.6819999999999999,0.27,0.6970000000000001,0.252,0.676,0.237,0.685,0.282,0.258,0.637,0.237,0.658,0.6970000000000001,0.219
57727016edc2cb3880bceb88,0.141,0.258,0.264,0.297,1.0,0.267,0.273,0.183,0.294,0.916,0.916,0.282,0.219,0.213,0.207,0.285,0.279,0.27,0.297,0.252,0.279,0.9369999999999999,0.285,0.679,0.261,0.237,0.637,0.258,0.297,0.916
57726f78edc2cb3880baa755,0.111,0.291,0.23099999999999998,0.667,0.267,1.0,0.243,0.85,0.273,0.24899999999999997,0.24599999999999997,0.9520000000000001,0.652,0.643,0.637,0.652,0.649,0.237,0.67,0.219,0.688,0.27,0.6819999999999999,0.24899999999999997,0.291,0.6040000000000001,0.20400000000000001,0.6910000000000001,0.67,0.186
57726f4cedc2cb3880ba07ed,0.868,0.23399999999999999,0.988,0.276,0.273,0.243,1.0,0.207,0.967,0.192,0.189,0.291,0.195,0.186,0.18,0.288,0.294,0.294,0.273,0.9760000000000001,0.252,0.21,0.261,0.294,0.934,0.261,0.264,0.23399999999999999,0.273,0.243
57726f76edc2cb3880baa425,0.261,0.141,0.219,0.583,0.183,0.85,0.207,1.0,0.174,0.099,0.096,0.898,0.502,0.493,0.487,0.5980000000000001,0.601,0.213,0.5800000000000001,0.23099999999999998,0.559,0.12,0.5680000000000001,0.201,0.141,0.646,0.24599999999999997,0.541,0.5800000000000001,0.264
57726f4fedc2cb3880ba0b6d,0.835,0.264,0.9580000000000001,0.291,0.294,0.273,0.967,0.174,1.0,0.222,0.222,0.276,0.22799999999999998,0.219,0.213,0.279,0.273,0.264,0.294,0.943,0.285,0.243,0.291,0.273,0.967,0.23099999999999998,0.23099999999999998,0.267,0.294,0.21
5772700eedc2cb3880bc836e,0.06,0.258,0.18,0.216,0.916,0.24899999999999997,0.192,0.099,0.222,1.0,0.997,0.201,0.297,0.294,0.288,0.201,0.198,0.186,0.219,0.168,0.237,0.979,0.23099999999999998,0.595,0.258,0.153,0.553,0.258,0.219,0.835
57727015edc2cb3880bceb08,0.056999999999999995,0.258,0.18,0.213,0.916,0.24599999999999997,0.189,0.096,0.222,0.997,1.0,0.198,0.294,0.297,0.291,0.201,0.195,0.186,0.216,0.165,0.237,0.979,0.22799999999999998,0.595,0.255,0.15,0.553,0.255,0.216,0.8320000000000001
57726f77edc2cb3880baa4c5,0.159,0.24,0.282,0.685,0.282,0.9520000000000001,0.291,0.898,0.276,0.201,0.198,1.0,0.6040000000000001,0.595,0.589,0.6970000000000001,0.6970000000000001,0.288,0.6819999999999999,0.267,0.661,0.219,0.67,0.297,0.243,0.655,0.255,0.643,0.6819999999999999,0.23399999999999999
57726e45edc2cb3880b69781,0.063,0.261,0.183,0.619,0.219,0.652,0.195,0.502,0.22799999999999998,0.297,0.294,0.6040000000000001,1.0,0.6910000000000001,0.685,0.6040000000000001,0.601,0.189,0.622,0.17099999999999999,0.643,0.285,0.634,0.201,0.261,0.556,0.159,0.661,0.622,0.138
57727c88edc2cb3880e4be65,0.054,0.255,0.177,0.61,0.213,0.643,0.186,0.493,0.219,0.294,0.297,0.595,0.6910000000000001,1.0,0.694,0.5980000000000001,0.5920000000000001,0.183,0.613,0.162,0.634,0.276,0.625,0.192,0.252,0.547,0.15,0.652,0.613,0.129
57727cbaedc2cb3880e561f7,0.048,0.24599999999999997,0.168,0.6040000000000001,0.207,0.637,0.18,0.487,0.213,0.288,0.291,0.589,0.685,0.694,1.0,0.589,0.5860000000000001,0.174,0.607,0.156,0.628,0.27,0.619,0.186,0.24599999999999997,0.541,0.144,0.646,0.607,0.12299999999999998
