userId,age,gender,country,cluster,medoid
1,55-64,male,Spain,0,-1.0
2,25-34,female,Spain,0,-1.0
3,18-24,female,Spain,1,-1.0
4,18-24,female,Spain,1,-1.0
5,35-44,male,Spain,0,-1.0
6,35-44,female,Spain,1,-1.0
7,65-70,female,Spain,1,-1.0
8,35-44,female,USA,1,-1.0
9,45-54,male,Spain,0,-1.0
10,35-44,male,Other,0,-1.0
11,45-54,male,Spain,0,-1.0
12,65-70,female,Mexico,1,-1.0
13,<12,male,USA,0,-1.0
14,13-17,male,France,0,-1.0
15,25-34,female,Japan,1,-1.0
16,35-44,male,Spain,0,-1.0
17,45-54,female,Brazil,1,-1.0
18,45-54,male,Spain,0,-1.0
19,65-70,male,Italy,0,-1.0
20,45-54,female,Spain,1,-1.0
21,35-44,female,Spain,1,-1.0
22,45-54,male,Italy,0,-1.0
24,25-34,male,Japan,0,-1.0
25,25-34,female,Japan,1,-1.0
26,25-34,male,Other,0,-1.0
27,45-54,male,Spain,0,-1.0
28,>70,male,France,1,-1.0
29,35-44,male,Italy,0,-1.0
30,45-54,female,Other,1,-1.0
31,18-24,female,Spain,1,-1.0
32,<12,male,Spain,1,-1.0
33,45-54,male,Spain,0,-1.0
36,55-64,female,Germany,1,-1.0
37,<12,male,Other,0,-1.0
38,35-44,male,France,0,-1.0
40,35-44,female,USA,1,-1.0
41,35-44,male,Spain,1,-1.0
42,13-17,female,Spain,1,-1.0
43,55-64,male,Germany,0,-1.0
44,45-54,female,Argenitina,1,-1.0
45,45-54,male,Other,0,-1.0
46,35-44,female,Spain,1,-1.0
48,45-54,female,Germany,1,-1.0
49,13-17,male,Other,0,-1.0
50,18-24,female,Spain,1,-1.0
51,18-24,male,Canada,0,-1.0
53,25-34,female,Spain,1,-1.0
54,25-34,male,Other,0,-1.0
55,45-54,male,USA,1,-1.0
56,18-24,male,Italy,0,-1.0
57,35-44,male,Other,1,-1.0
58,18-24,male,France,0,-1.0
59,45-54,female,USA,0,-1.0
60,55-64,male,Japan,0,-1.0
61,35-44,male,Italy,0,-1.0
63,18-24,female,Spain,0,-1.0
64,35-44,male,Spain,0,-1.0
65,25-34,female,Italy,1,-1.0
66,45-54,female,Other,1,-1.0
67,55-64,male,Spain,0,-1.0
68,25-34,male,Spain,0,-1.0
69,25-34,male,France,0,-1.0
71,35-44,male,Spain,1,-1.0
72,18-24,male,USA,1,-1.0
73,18-24,male,USA,0,-1.0
77,35-44,male,France,0,-1.0
79,45-54,male,Spain,0,-1.0
80,35-44,female,Spain,0,-1.0
81,65-70,female,Spain,1,-1.0
83,35-44,female,Japan,1,-1.0
84,55-64,female,Other,1,-1.0
85,35-44,male,Other,0,-1.0
86,25-34,male,Other,0,-1.0
87,45-54,male,Mexico,0,-1.0
89,35-44,female,Spain,1,-1.0
90,18-24,female,Argenitina,1,-1.0
91,18-24,female,Mexico,1,-1.0
92,45-54,male,Spain,0,-1.0
94,35-44,female,Other,1,-1.0
95,55-64,male,USA,0,-1.0
96,55-64,female,Other,1,-1.0
97,35-44,female,Other,1,-1.0
98,18-24,female,Spain,1,-1.0
99,45-54,male,Other,0,-1.0
101,25-34,male,Spain,1,-1.0
102,35-44,male,France,0,-1.0
103,18-24,male,Spain,0,-1.0
104,25-34,male,France,0,-1.0
106,35-44,male,Japan,0,-1.0
107,25-34,female,Brazil,1,-1.0
109,45-54,female,Japan,1,-1.0
110,45-54,female,Germany,1,-1.0
112,45-54,male,Other,0,-1.0
114,55-64,female,Spain,1,-1.0
116,13-17,male,Spain,0,-1.0
117,55-64,female,Spain,0,-1.0
119,25-34,male,Spain,1,-1.0
120,45-54,male,Mexico,0,-1.0
121,55-64,female,Canada,1,-1.0
125,<12,female,Spain,1,-1.0
127,18-24,male,Italy,1,-1.0
129,25-34,male,Other,1,-1.0
131,35-44,female,Spain,1,-1.0
132,13-17,male,Mexico,0,-1.0
133,18-24,male,Spain,1,-1.0
134,35-44,female,Spain,1,-1.0
135,35-44,female,Other,0,-1.0
136,45-54,female,France,1,-1.0
137,35-44,male,Spain,1,-1.0
138,35-44,female,Spain,0,-1.0
140,45-54,female,France,1,-1.0
141,18-24,female,Other,1,-1.0
143,55-64,female,France,1,-1.0
144,25-34,female,France,0,-1.0
147,<12,male,Italy,0,-1.0
149,65-70,male,Argenitina,0,-1.0
150,35-44,male,Spain,0,-1.0
151,35-44,male,Italy,0,-1.0
153,35-44,female,Italy,1,-1.0
154,35-44,female,Spain,0,-1.0
159,55-64,male,Italy,0,-1.0
160,35-44,male,Spain,1,-1.0
162,13-17,male,Italy,0,-1.0
164,35-44,female,France,1,-1.0
165,35-44,male,Spain,0,-1.0
170,55-64,female,Other,1,-1.0
171,25-34,male,Spain,1,-1.0
172,18-24,male,Spain,0,-1.0
174,13-17,male,USA,1,-1.0
175,35-44,male,Japan,0,1.0
176,25-34,female,Other,1,-1.0
177,<12,male,Spain,0,-1.0
178,45-54,female,France,1,-1.0
183,45-54,male,Italy,1,-1.0
189,45-54,female,Argenitina,1,-1.0
191,25-34,male,Spain,0,-1.0
192,<12,female,USA,1,-1.0
193,55-64,female,USA,1,-1.0
194,45-54,male,Other,1,-1.0
197,18-24,male,Spain,1,-1.0
199,25-34,female,Japan,1,0.0
200,35-44,female,Spain,1,-1.0
202,25-34,male,Canada,0,-1.0
203,18-24,male,Spain,0,-1.0
205,18-24,male,Other,0,-1.0
207,45-54,female,Spain,1,-1.0
214,25-34,male,Mexico,1,-1.0
219,35-44,male,Other,0,-1.0
221,25-34,female,France,1,-1.0
224,25-34,male,Other,0,-1.0
225,55-64,male,Italy,0,-1.0
228,45-54,female,Canada,0,-1.0
231,18-24,male,Mexico,0,-1.0
