,userId,age,gender,country
0,1,55-64,male,Spain
1,2,25-34,female,Spain
2,3,18-24,female,Spain
3,4,18-24,female,Spain
4,5,35-44,male,Spain
5,6,35-44,female,Spain
6,7,65-70,female,Spain
7,8,35-44,female,United States
8,9,45-54,male,Spain
9,10,35-44,male,Other
10,11,45-54,male,Spain
11,12,65-70,female,Mexico
12,13,0-12,male,United States
13,14,13-17,male,France
14,15,25-34,female,Japan
15,16,35-44,male,Spain
16,17,45-54,female,Brazil
17,18,45-54,male,Spain
18,19,65-70,male,Italy
19,20,45-54,female,Spain
20,21,35-44,female,Spain
21,22,45-54,male,Italy
22,24,25-34,male,Japan
23,25,25-34,female,Japan
24,26,25-34,male,Other
25,27,45-54,male,Spain
26,28,70-100,male,France
27,29,35-44,male,Italy
28,30,45-54,female,Other
29,31,18-24,female,Spain
30,32,0-12,male,Spain
31,33,45-54,male,Spain
32,36,55-64,female,Germany
33,37,0-12,male,Other
34,38,35-44,male,France
35,40,35-44,female,United States
36,41,35-44,male,Spain
37,42,13-17,female,Spain
38,43,55-64,male,Germany
39,44,45-54,female,Argentina
40,45,45-54,male,Other
41,46,35-44,female,Spain
42,48,45-54,female,Germany
43,49,13-17,male,Other
44,50,18-24,female,Spain
45,51,18-24,male,Canada
46,53,25-34,female,Spain
47,54,25-34,male,Other
48,55,45-54,male,United States
49,56,18-24,male,Italy
50,57,35-44,male,Other
51,58,18-24,male,France
52,59,45-54,female,United States
53,60,55-64,male,Japan
54,61,35-44,male,Italy
55,63,18-24,female,Spain
56,64,35-44,male,Spain
57,65,25-34,female,Italy
58,66,45-54,female,Other
59,67,55-64,male,Spain
60,68,25-34,male,Spain
61,69,25-34,male,France
62,71,35-44,male,Spain
63,72,18-24,male,United States
64,73,18-24,male,United States
65,77,35-44,male,France
66,79,45-54,male,Spain
67,80,35-44,female,Spain
68,81,65-70,female,Spain
69,83,35-44,female,Japan
70,84,55-64,female,Other
71,85,35-44,male,Other
72,86,25-34,male,Other
73,87,45-54,male,Mexico
74,89,35-44,female,Spain
75,90,18-24,female,Argentina
76,91,18-24,female,Mexico
77,92,45-54,male,Spain
78,94,35-44,female,Other
79,95,55-64,male,United States
80,96,55-64,female,Other
81,97,35-44,female,Other
82,98,18-24,female,Spain
83,99,45-54,male,Other
84,101,25-34,male,Spain
85,102,35-44,male,France
86,103,18-24,male,Spain
87,104,25-34,male,France
88,106,35-44,male,Japan
89,107,25-34,female,Brazil
90,109,45-54,female,Japan
91,110,45-54,female,Germany
92,112,45-54,male,Other
93,114,55-64,female,Spain
94,116,13-17,male,Spain
95,117,55-64,female,Spain
96,119,25-34,male,Spain
97,120,45-54,male,Mexico
98,121,55-64,female,Canada
99,125,0-12,female,Spain
100,127,18-24,male,Italy
101,129,25-34,male,Other
102,131,35-44,female,Spain
103,132,13-17,male,Mexico
104,133,18-24,male,Spain
105,134,35-44,female,Spain
106,135,35-44,female,Other
107,136,45-54,female,France
108,137,35-44,male,Spain
109,138,35-44,female,Spain
110,140,45-54,female,France
111,141,18-24,female,Other
112,143,55-64,female,France
113,144,25-34,female,France
114,147,0-12,male,Italy
115,149,65-70,male,Argentina
116,150,35-44,male,Spain
117,151,35-44,male,Italy
118,153,35-44,female,Italy
119,154,35-44,female,Spain
120,159,55-64,male,Italy
121,160,35-44,male,Spain
122,162,13-17,male,Italy
123,164,35-44,female,France
124,165,35-44,male,Spain
125,170,55-64,female,Other
126,171,25-34,male,Spain
127,172,18-24,male,Spain
128,174,13-17,male,United States
129,175,35-44,male,Japan
130,176,25-34,female,Other
131,177,0-12,male,Spain
132,178,45-54,female,France
133,183,45-54,male,Italy
134,189,45-54,female,Argentina
135,191,25-34,male,Spain
136,192,0-12,female,United States
137,193,55-64,female,United States
138,194,45-54,male,Other
139,197,18-24,male,Spain
140,199,25-34,female,Japan
141,200,35-44,female,Spain
142,202,25-34,male,Canada
143,203,18-24,male,Spain
144,205,18-24,male,Other
145,207,45-54,female,Spain
146,214,25-34,male,Mexico
147,219,35-44,male,Other
148,221,25-34,female,France
149,224,25-34,male,Other
150,225,55-64,male,Italy
151,228,45-54,female,Canada
152,231,18-24,male,Mexico
153,243,13-17,female,Other
154,246,18-24,male,Other
155,247,55-64,female,Other
156,259,45-54,male,Spain
157,261,65-70,male,Other
158,262,13-17,male,Spain
159,263,35-44,female,Spain
160,267,35-44,male,United States
161,270,0-12,female,United States
162,275,25-34,male,Spain
163,277,25-34,male,Spain
164,288,35-44,female,Spain
165,289,35-44,male,Spain
166,298,45-54,male,Italy
167,299,45-54,male,Spain
168,300,25-34,female,Spain
169,301,45-54,male,Spain
170,306,55-64,male,Spain
