,57726f48edc2cb3880ba012f,57726e34edc2cb3880b62340,57726f56edc2cb3880ba7233,57727c95edc2cb3880e4d1d4,57727016edc2cb3880bceb88,57726f78edc2cb3880baa755,57726f4cedc2cb3880ba07ed,57726f76edc2cb3880baa425,57726f4fedc2cb3880ba0b6d,5772700eedc2cb3880bc836e,57727015edc2cb3880bceb08,57726f77edc2cb3880baa4c5,57726e45edc2cb3880b69781,57727c88edc2cb3880e4be65,57727cbaedc2cb3880e561f7,57727d14edc2cb3880e6926e,57726fffedc2cb3880bc69d6,57727d5cedc2cb3880e751a0,57727c2eedc2cb3880e392f5,57726f59edc2cb3880ba76b3,577271fdedc2cb3880c384cc,57727015edc2cb3880bceb28,57727071edc2cb3880be3213,57726e37edc2cb3880b628ee,57726f49edc2cb3880ba034f,577278d5edc2cb3880d94196,5772752eedc2cb3880cd9f38,57727c2eedc2cb3880e39405,577278cdedc2cb3880d9370c,5772700eedc2cb3880bc82ce
57726f48edc2cb3880ba012f,1.0,0.33,0.45,0.48,0.21,0.36,0.55,0.86,0.44,0.19,0.19,0.34,0.21,0.18,0.15,0.51,0.44,0.58,0.47,0.44,0.39,0.26,0.42,0.54,0.34,0.42,0.54,0.28,0.46,0.22
57726e34edc2cb3880b62340,0.33,1.0,0.63,0.81,0.51,0.94,0.78,0.47,0.88,0.86,0.85,0.6,0.87,0.83,0.82,0.81,0.72,0.73,0.83,0.57,0.93,0.93,0.91,0.76,0.96,0.49,0.59,0.84,0.86,0.25
57726f56edc2cb3880ba7233,0.45,0.63,1.0,0.6,0.75,0.61,0.73,0.58,0.68,0.51,0.51,0.89,0.52,0.47,0.51,0.74,0.92,0.61,0.62,0.94,0.66,0.57,0.68,0.62,0.61,0.85,0.9,0.73,0.67,0.61
57727c95edc2cb3880e4d1d4,0.48,0.81,0.6,1.0,0.4,0.87,0.86,0.6,0.89,0.7,0.7,0.52,0.72,0.7,0.64,0.86,0.67,0.9,0.97,0.54,0.87,0.76,0.87,0.93,0.84,0.46,0.6,0.68,0.92,0.2
57727016edc2cb3880bceb88,0.21,0.51,0.75,0.4,1.0,0.46,0.51,0.34,0.5,0.43,0.42,0.86,0.43,0.38,0.46,0.53,0.72,0.39,0.43,0.77,0.5,0.47,0.51,0.4,0.47,0.76,0.67,0.66,0.48,0.69
57726f78edc2cb3880baa755,0.36,0.94,0.61,0.87,0.46,1.0,0.8,0.5,0.91,0.83,0.82,0.57,0.84,0.81,0.77,0.83,0.7,0.78,0.88,0.55,0.95,0.89,0.93,0.81,0.97,0.47,0.59,0.78,0.9,0.23
57726f4cedc2cb3880ba07ed,0.55,0.78,0.73,0.86,0.51,0.8,1.0,0.69,0.89,0.64,0.63,0.64,0.65,0.62,0.6,0.96,0.79,0.88,0.88,0.67,0.84,0.7,0.87,0.89,0.78,0.59,0.74,0.72,0.9,0.34
57726f76edc2cb3880baa425,0.86,0.47,0.58,0.6,0.34,0.5,0.69,1.0,0.58,0.33,0.32,0.47,0.34,0.31,0.28,0.65,0.58,0.7,0.6,0.57,0.53,0.39,0.56,0.67,0.47,0.53,0.67,0.43,0.6,0.31
57726f4fedc2cb3880ba0b6d,0.44,0.88,0.68,0.89,0.5,0.91,0.89,0.58,1.0,0.74,0.74,0.62,0.76,0.73,0.7,0.92,0.76,0.84,0.92,0.62,0.95,0.81,0.97,0.87,0.89,0.54,0.67,0.78,0.97,0.29
5772700eedc2cb3880bc836e,0.19,0.86,0.51,0.7,0.43,0.83,0.64,0.33,0.74,1.0,0.99,0.5,0.99,0.96,0.92,0.67,0.59,0.61,0.72,0.45,0.79,0.93,0.77,0.64,0.86,0.37,0.46,0.76,0.73,0.15
