,age,gender,country,cluster
0,55-64,male,Spain,2
1,25-34,female,Spain,7
2,18-24,female,Spain,7
3,18-24,female,Spain,7
4,35-44,male,Spain,6
5,35-44,female,Spain,5
6,65-70,female,Spain,5
7,35-44,female,USA,7
8,45-54,male,Spain,2
9,35-44,male,Other,2
10,45-54,male,Spain,2
11,65-70,female,Mexico,0
12,<12,male,USA,7
13,13-17,male,France,9
14,25-34,female,Japan,7
15,35-44,male,Spain,2
16,45-54,female,Brazil,5
17,45-54,male,Spain,2
18,65-70,male,Italy,0
19,45-54,female,Spain,5
20,35-44,female,Spain,5
21,45-54,male,Italy,0
22,25-34,male,Japan,7
23,25-34,female,Japan,7
24,25-34,male,Other,9
25,45-54,male,Spain,2
26,>70,male,France,0
27,35-44,male,Italy,2
28,45-54,female,Other,5
29,18-24,female,Spain,7
30,<12,male,Spain,9
31,45-54,male,Spain,2
32,55-64,female,Germany,5
33,<12,male,Other,9
34,35-44,male,France,9
35,35-44,female,USA,7
36,35-44,male,Spain,0
37,13-17,female,Spain,7
38,55-64,male,Germany,2
39,45-54,female,Argenitina,5
40,45-54,male,Other,2
41,35-44,female,Spain,5
42,45-54,female,Germany,5
43,13-17,male,Other,9
44,18-24,female,Spain,7
45,18-24,male,Canada,7
46,25-34,female,Spain,7
47,25-34,male,Other,2
48,45-54,male,USA,0
49,18-24,male,Italy,9
50,35-44,male,Other,9
51,18-24,male,France,9
52,45-54,female,USA,7
53,55-64,male,Japan,6
54,35-44,male,Italy,0
55,18-24,female,Spain,7
56,35-44,male,Spain,2
57,25-34,female,Italy,7
58,45-54,female,Other,5
59,55-64,male,Spain,2
60,25-34,male,Spain,2
61,25-34,male,France,2
62,35-44,male,Spain,0
63,18-24,male,USA,0
64,18-24,male,USA,0
65,35-44,male,France,9
66,45-54,male,Spain,0
67,35-44,female,Spain,5
68,65-70,female,Spain,5
69,35-44,female,Japan,5
70,55-64,female,Other,5
71,35-44,male,Other,2
72,25-34,male,Other,9
73,45-54,male,Mexico,2
74,35-44,female,Spain,5
75,18-24,female,Argenitina,7
76,18-24,female,Mexico,7
77,45-54,male,Spain,0
78,35-44,female,Other,5
79,55-64,male,USA,2
80,55-64,female,Other,5
81,35-44,female,Other,5
82,18-24,female,Spain,7
83,45-54,male,Other,2
84,25-34,male,Spain,0
85,35-44,male,France,0
86,18-24,male,Spain,9
87,25-34,male,France,9
88,35-44,male,Japan,5
89,25-34,female,Brazil,7
90,45-54,female,Japan,5
91,45-54,female,Germany,5
92,45-54,male,Other,2
93,55-64,female,Spain,5
94,13-17,male,Spain,9
95,55-64,female,Spain,5
96,25-34,male,Spain,9
97,45-54,male,Mexico,2
98,55-64,female,Canada,7
99,<12,female,Spain,9
100,18-24,male,Italy,9
101,25-34,male,Other,9
102,35-44,female,Spain,5
103,13-17,male,Mexico,9
104,18-24,male,Spain,9
105,35-44,female,Spain,0
106,35-44,female,Other,5
107,45-54,female,France,0
108,35-44,male,Spain,0
109,35-44,female,Spain,5
110,45-54,female,France,5
111,18-24,female,Other,5
112,55-64,female,France,5
113,25-34,female,France,7
114,<12,male,Italy,2
115,65-70,male,Argenitina,0
116,35-44,male,Spain,9
117,35-44,male,Italy,0
118,35-44,female,Italy,5
119,35-44,female,Spain,5
120,55-64,male,Italy,0
121,35-44,male,Spain,0
122,13-17,male,Italy,9
123,35-44,female,France,5
124,35-44,male,Spain,2
125,55-64,female,Other,8
126,25-34,male,Spain,9
127,18-24,male,Spain,2
128,13-17,male,USA,0
129,35-44,male,Japan,0
130,25-34,female,Other,5
131,<12,male,Spain,2
132,45-54,female,France,0
133,45-54,male,Italy,0
134,45-54,female,Argenitina,5
135,25-34,male,Spain,2
136,<12,female,USA,7
137,55-64,female,USA,7
138,45-54,male,Other,2
139,18-24,male,Spain,9
140,25-34,female,Japan,7
141,35-44,female,Spain,0
142,25-34,male,Canada,0
143,18-24,male,Spain,3
144,18-24,male,Other,9
145,45-54,female,Spain,5
146,25-34,male,Mexico,0
147,35-44,male,Other,2
148,25-34,female,France,0
149,25-34,male,Other,9
150,55-64,male,Italy,2
151,45-54,female,Canada,7
152,18-24,male,Mexico,2
153,13-17,female,Other,5
154,18-24,male,Other,2
155,55-64,female,Other,8
156,45-54,male,Spain,2
157,65-70,male,Other,9
158,13-17,male,Spain,9
159,35-44,female,Spain,5
160,35-44,male,USA,0
161,<12,female,USA,1
162,25-34,male,Spain,9
163,25-34,male,Spain,9
164,35-44,female,Spain,0
165,35-44,male,Spain,0
166,45-54,male,Italy,0
167,45-54,male,Spain,0
168,25-34,female,Spain,7
169,45-54,male,Spain,2
170,55-64,male,Spain,0
